steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
10383	136	20.101240634918213	72.0	72.0	0.0	72.0	72.0	-4.743424	0.8093256987258792	10383	9884	10383
10425	137	20.17522668838501	72.0	72.0	0.0	72.0	72.0	-4.5242877	0.8967548813484609	10425	9926	10425
10471	138	20.52064347267151	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-4.44854	1.1065853067720308	10471	9972	10471
10507	139	20.839989185333252	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-3.8551412	1.0590932646533475	10507	10008	10507
10550	140	20.91486120223999	72.0	72.0	0.0	72.0	72.0	-3.596191	0.8011722579691559	10550	10051	10550
10597	141	20.993629693984985	72.0	72.0	0.0	72.0	72.0	-4.175005	0.7976218840805813	10597	10098	10597
10635	142	21.058025360107422	72.0	72.0	0.0	72.0	72.0	-3.278646	0.7480563534330577	10635	10136	10635
10666	143	21.11112880706787	72.0	72.0	0.0	72.0	72.0	-3.649611	0.7045858559105546	10666	10167	10666
10704	144	21.183011531829834	72.0	72.0	0.0	72.0	72.0	-3.699502	0.6624426627205685	10704	10205	10704
10749	145	21.259021043777466	72.0	72.0	0.0	72.0	72.0	-3.193409	0.8511866871709936	10749	10250	10749
10793	146	21.332459449768066	72.0	72.0	0.0	72.0	72.0	-3.8441005	0.8612170617212541	10793	10294	10793
10833	147	21.402167320251465	72.0	72.0	0.0	72.0	72.0	-2.965292	0.9267090993723832	10833	10334	10833
10870	148	21.467036247253418	72.0	72.0	0.0	72.0	72.0	-3.2544281	0.8574986017751507	10870	10371	10870
10904	149	21.5263934135437	72.0	72.0	0.0	72.0	72.0	-3.0600958	0.7954847002145834	10904	10405	10904
10953	150	21.607532739639282	72.0	72.0	0.0	72.0	72.0	-2.8539484	0.7520254575437866	10953	10454	10953
10993	151	21.67650270462036	72.0	72.0	0.0	72.0	72.0	-3.2041202	0.7802334684692324	10993	10494	10993
11036	152	21.749606609344482	72.0	72.0	0.0	72.0	72.0	-3.0063248	0.7784166255174205	11036	10537	11036
11074	153	21.814428091049194	72.0	72.0	0.0	72.0	72.0	-2.096021	0.847424520472996	11074	10575	11074
11122	154	21.894935607910156	72.0	72.0	0.0	72.0	72.0	-1.9458485	0.823021581126377	11122	10623	11122
11172	155	21.980131149291992	72.0	72.0	0.0	72.0	72.0	-2.0590575	0.9041853728331626	11172	10673	11172
11208	156	22.04426860809326	72.0	72.0	0.0	72.0	72.0	-2.1114256	0.8492040859162807	11208	10709	11208
11252	157	22.117525339126587	72.0	72.0	0.0	72.0	72.0	-1.4593687	0.7809799142088741	11252	10753	11252
11300	158	22.19813895225525	72.0	72.0	0.0	72.0	72.0	-0.977343	0.895685319956392	11300	10801	11300
11334	159	22.25690984725952	72.0	72.0	0.0	72.0	72.0	-1.4076154	0.9894489518878982	11334	10835	11334
11374	160	22.329450368881226	72.0	72.0	0.0	72.0	72.0	-1.3645588	0.8588667366607114	11374	10875	11374
11420	161	22.40685534477234	72.0	72.0	0.0	72.0	72.0	-0.67504656	0.7543203897122294	11420	10921	11420
11458	162	22.471538066864014	72.0	72.0	0.0	72.0	72.0	-0.805285	0.8548563441913575	11458	10959	11458
11503	163	22.54727602005005	72.0	72.0	0.0	72.0	72.0	-0.77073437	0.9443620804464444	11503	11004	11503
11550	164	22.62487292289734	72.0	72.0	0.0	72.0	72.0	-0.90156436	0.9017892005154863	11550	11051	11550
11596	165	22.704288244247437	72.0	72.0	0.0	72.0	72.0	-0.14959872	0.896735487380065	11596	11097	11596
11653	166	22.796038389205933	72.0	72.0	0.0	72.0	72.0	-0.020145202	0.8124220120767132	11653	11154	11653
11697	167	22.86939811706543	72.0	72.0	0.0	72.0	72.0	-1.4641602	0.6338003736082465	11697	11198	11697
